Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
TRBV20OR9-2	0.20431647743685086	2.7332252421835163e-6	0.0014426944176639958	0.22594984386026118	0.9994628079712078	FALSE
TRBV18	88178.04961641862	2.5921130832912513e-6	0.001442690919889315	0.19210942381528076	0.9994628079712078	FALSE
MSX1	3.3310162409407194	2.5261801532633514e-6	0.0014426952035483105	0.015355001437317987	0.9994628079712078	FALSE
PCNX2	7.888801064201003	2.420613514919953e-6	0.0014426947749530143	0.038706207796851196	0.9994628079712078	FALSE
MICAL1	47.447637601688754	2.2947584717371256e-6	0.00144269014516488	0.2634806602980313	0.9994628079712078	FALSE
CD47	3.6965481085099117	2.1640928192513075e-6	0.0014426950086972553	0.0222762169109984	0.9994628079712078	FALSE
PPM1N	3.051593864284049	2.162329287000746e-6	0.0014426935414349593	0.1323095836909247	0.9994628079712078	FALSE
TRBV5-3	4.715781982543128	1.9675580061752426e-6	0.0014426930443467891	0.16747898807687123	0.9994628079712078	FALSE
TRBV11-2	4803.068995504481	1.8918569654825728e-6	0.0014426891565949966	0.3890262995433888	0.9994628079712078	FALSE
KCNJ3	0.29311112603352535	1.8518055848096275e-6	0.0014426953421166624	0.781939301599367	0.9994628079712078	FALSE
PDGFA	43.24513891142829	1.806170666148392e-6	0.0014426951905257405	0.006989735126434461	0.8587071181216482	FALSE
TRBV7-7	228.8827823374558	1.759428687984303e-6	0.001442680924706065	0.5949963249665832	0.9994628079712078	FALSE
GPR85	150.28946884581663	1.6165365061977864e-6	0.0014426947417182062	0.047843805567590186	0.9994628079712078	FALSE
TRIM72	1.096824296111263	1.5924191064302712e-6	0.0014426949020201031	0.2015311148904003	0.9994628079712078	FALSE
FMR1	1.3451957656342484	1.5685405624747684e-6	0.0014426943321397274	0.21189935136322974	0.9994628079712078	FALSE
TMCC2	0.19943316891783433	1.5363853545294966e-6	0.0014426954096988514	0.9676779574010266	0.9994628079712078	FALSE
RNASEH2B	5.760489349927229	1.5202130294352996e-6	0.0014426949251172762	0.07762776265354553	0.9994628079712078	FALSE
SLC30A4	4.20575467633016	1.4706808688984085e-6	0.0014426952277569979	0.026320351983768496	0.9994628079712078	FALSE
BCDIN3D	0.8671661716815081	1.440914416320503e-6	0.0014426945191723867	0.22974050742078037	0.9994628079712078	FALSE
TRBV10-1	20.360032570138536	1.3552223968715625e-6	0.0014426857577548957	0.6075814649999212	0.9994628079712078	FALSE
TRBV5-1	6933166.79012032	1.302697318334659e-6	0.0014426916766472882	0.43812473989110723	0.9994628079712078	FALSE
CD163	0.14038156700210094	1.3015791499589137e-6	0.0014426947861100343	0.8396676841614035	0.9994628079712078	FALSE
RUNX3	14.497018851381991	1.2596035703343055e-6	0.0014426947182304833	0.0733005847985817	0.9994628079712078	FALSE
TRBV6-7	0.19927156361997983	1.253126364107775e-6	0.0014426945925871764	0.4607880566666771	0.9994628079712078	FALSE
TRBJ2-7	179.7153710085105	1.2282258342878e-6	0.0014426806728462342	0.712974445125196	0.9994628079712078	FALSE
TRBV5-6	7152.339554862819	1.1985805582756832e-6	0.0014426895567827116	0.5625482626553124	0.9994628079712078	FALSE
TRBC2	52.399592371989115	1.1983627929203078e-6	0.0014426927395516517	0.39136300566805987	0.9994628079712078	FALSE
EXOSC6	1.3583942371943025	1.0592717711656379e-6	0.0014426949720664937	0.19650820508893532	0.9994628079712078	FALSE
CRELD1	0.1627447283198371	1.0589435437105442e-6	0.0014426948640326794	0.4620044789828288	0.9994628079712078	FALSE
LINC03031	0.9372026369487712	1.0568786062633399e-6	0.0014426941219452265	0.38986056438165567	0.9994628079712078	FALSE
SLC24A4	1.5543429589402569	1.046976558319081e-6	0.001442694005905175	0.4258343747460992	0.9994628079712078	FALSE
TRBV16	7.599443657732492	1.029361207669799e-6	0.0014426896940793014	0.632305493483973	0.9994628079712078	FALSE
TRBV30	32.68753357677053	1.0283088340240215e-6	0.0014426870957865378	0.6809883726936206	0.9994628079712078	FALSE
KLLN	1.8017643227897766	1.027627756958174e-6	0.0014426947672360984	0.2388705321308095	0.9994628079712078	FALSE
TRBJ1-5	324.8772077214438	1.016241671796555e-6	0.0014426824820265608	0.008778588303709717	0.8587071181216482	FALSE
MORC4	0.03147499717018272	1.0036708279133143e-6	0.0014426951860901376	0.9250646099097343	0.9994628079712078	FALSE
CALM1	0.1471842613924306	1.0028719861658946e-6	0.0014426951767444744	0.8073270987993355	0.9994628079712078	FALSE
RGPD4-AS1	0.2644867554054682	9.88966054105713e-7	0.00144269446295382	0.4477225187577864	0.9994628079712078	FALSE
FGF18	5.330639055484619	9.841485634375716e-7	0.001442694423129572	0.21565699641035224	0.9994628079712078	FALSE
FLNA	13.643778982580425	9.72909065052055e-7	0.0014426948548695254	0.07686954492870604	0.9994628079712078	FALSE
SULT1A1	0.5334762720185795	9.70734084042027e-7	0.001442694647815754	0.399912416556091	0.9994628079712078	FALSE
FBXO33	1.14074620354297	9.38435225654844e-7	0.0014426950019443125	0.23586671261700362	0.9994628079712078	FALSE
ZFHX3	0.5816684548213485	9.326590476634949e-7	0.0014426949059774476	0.3546382165484419	0.9994628079712078	FALSE
MFSD8	1.2599919617907935	9.302192106966947e-7	0.0014426949271481148	0.2598167454002326	0.9994628079712078	FALSE
CHST5	0.8929012653432712	8.992532425289327e-7	0.001442694846290998	0.3275311138137234	0.9994628079712078	FALSE
STAG2	3.6689336922234164	8.986521683917959e-7	0.0014426940083226074	0.24859894645888417	0.9994628079712078	FALSE
B4GALT1	0.8691741986601629	8.896997781275193e-7	0.0014426950420187421	0.302176283347595	0.9994628079712078	FALSE
TRBV7-2	22253.5787579533	8.687122170465825e-7	0.0014426882913647725	0.7044295027168603	0.9994628079712078	FALSE
EMX2	0.2919764227867732	8.575117109060074e-7	0.0014426949144750638	0.5075140414700321	0.9994628079712078	FALSE
KBTBD6	0.06737439867245229	7.821527092844916e-7	0.001442695057171399	0.8983584113073878	0.9994628079712078	FALSE
TIMM29	2.1692027001176735	7.82005059065637e-7	0.00144269461207303	0.995879383981229	0.9994628079712078	FALSE
ZNF462	0.5009525081969003	7.794541012303716e-7	0.001442694940573851	0.42035110819791516	0.9994628079712078	FALSE
GPATCH3	2.9369333598139473	7.755268347056077e-7	0.0014426946624935817	0.4896939883164678	0.9994628079712078	FALSE
ACD	9.934321694983087	7.694576716415891e-7	0.0014426931233543535	0.5051750153006815	0.9994628079712078	FALSE
CELF4	1.1696533019327522	7.686394520962695e-7	0.0014426945528825228	0.43677599903967657	0.9994628079712078	FALSE
KANK2	0.44238374007785886	7.432474914910402e-7	0.0014426945572009052	0.4751285313197576	0.9994628079712078	FALSE
